0,1
Liam Delap,https://www.premierleague.com/players/51813/Liam-Delap/stats?co=1&se=-1
Fabian Delph,https://www.premierleague.com/players/3799/Fabian-Delph/stats?co=1&se=-1
Lars Dendoncker,https://www.premierleague.com/players/67927/Lars-Dendoncker/stats?co=1&se=-1
Emmanuel Dennis,https://www.premierleague.com/players/20701/Emmanuel-Dennis/stats?co=1&se=-1
Halil Dervisoglu,https://www.premierleague.com/players/49461/Halil-Dervisoglu/stats?co=1&se=-1
Alfie Devine,https://www.premierleague.com/players/77990/Alfie-Devine/stats?co=1&se=-1
Kiernan Dewsbury-Hall,https://www.premierleague.com/players/14706/Kiernan-Dewsbury-Hall/stats?co=1&se=-1
Amad Diallo,https://www.premierleague.com/players/69176/Amad-Diallo/stats?co=1&se=-1
Luis Díaz,https://www.premierleague.com/players/66669/Luis-D%C3%ADaz/stats?co=1&se=-1
Thomas Dickson-Peters,https://www.premierleague.com/players/33345/Thomas-Dickson-Peters/stats?co=1&se=-1
Eric Dier,https://www.premierleague.com/players/4112/Eric-Dier/stats?co=1&se=-1
Lucas Digne,https://www.premierleague.com/players/5758/Lucas-Digne/stats?co=1&se=-1
Diogo Dalot,https://www.premierleague.com/players/24252/Diogo-Dalot/stats?co=1&se=-1
Diogo Jota,https://www.premierleague.com/players/19758/Diogo-Jota/stats?co=1&se=-1
Issa Diop,https://www.premierleague.com/players/49884/Issa-Diop/stats?co=1&se=-1
Elijah Dixon-Bonner,https://www.premierleague.com/players/24231/Elijah-Dixon-Bonner/stats?co=1&se=-1
Moussa Djenepo,https://www.premierleague.com/players/52153/Moussa-Djenepo/stats?co=1&se=-1
Lewis Dobbin,https://www.premierleague.com/players/51511/Lewis-Dobbin/stats?co=1&se=-1
Owen Dodgson,https://www.premierleague.com/players/66524/Owen-Dodgson/stats?co=1&se=-1
Matt Doherty,https://www.premierleague.com/players/4229/Matt-Doherty/stats?co=1&se=-1
Domingos Quina,https://www.premierleague.com/players/19678/Domingos-Quina/stats?co=1&se=-1
Abdoulaye Doucouré,https://www.premierleague.com/players/13823/Abdoulaye-Doucour%C3%A9/stats?co=1&se=-1
Douglas Luiz,https://www.premierleague.com/players/24626/Douglas-Luiz/stats?co=1&se=-1
Kieran Dowell,https://www.premierleague.com/players/10455/Kieran-Dowell/stats?co=1&se=-1
Tommy Doyle,https://www.premierleague.com/players/24637/Tommy-Doyle/stats?co=1&se=-1
Cody Drameh,https://www.premierleague.com/players/24811/Cody-Drameh/stats?co=1&se=-1
Danny Drinkwater,https://www.premierleague.com/players/3670/Danny-Drinkwater/stats?co=1&se=-1
Anthony Driscoll-Glennon,https://www.premierleague.com/players/23810/Anthony-Driscoll-Glennon/stats?co=1&se=-1
